Acorn_grouped,hour_of_day,avg_kwh_usage
ACORN-,0,0.1838
Affluent,0,0.3388
ACORN-,1,0.1566
Affluent,1,0.2883
ACORN-,2,0.1271
Affluent,2,0.2674
ACORN-,3,0.125
Affluent,3,0.2589
ACORN-,4,0.1237
Affluent,4,0.2659
ACORN-,5,0.1341
Affluent,5,0.2792
ACORN-,6,0.1609
Affluent,6,0.3325
ACORN-,7,0.2073
Affluent,7,0.4141
ACORN-,8,0.2416
Affluent,8,0.4633
ACORN-,9,0.2635
Affluent,9,0.4755
ACORN-,10,0.2492
Affluent,10,0.4675
ACORN-,11,0.256
Affluent,11,0.4593
ACORN-,12,0.2473
Affluent,12,0.4557
ACORN-,13,0.2322
Affluent,13,0.4648
ACORN-,14,0.2239
Affluent,14,0.4647
ACORN-,15,0.2259
Affluent,15,0.4568
ACORN-,16,0.3033
Affluent,16,0.4858
ACORN-,17,0.348
Affluent,17,0.5698
ACORN-,18,0.4759
Affluent,18,0.6642
ACORN-,19,0.4591
Affluent,19,0.7065
ACORN-,20,0.4141
Affluent,20,0.701
ACORN-,21,0.3555
Affluent,21,0.6667
ACORN-,22,0.2916
Affluent,22,0.574
ACORN-,23,0.2311
Affluent,23,0.4428
