Acorn_grouped,stdorToU,hour_of_day,day_of_week,day_name,avg_kwh_usage,reading_count
ACORN-,ToU,0,1,Sunday,0.1869,220
ACORN-,ToU,1,1,Sunday,0.1636,220
ACORN-,ToU,2,1,Sunday,0.1249,220
ACORN-,ToU,3,1,Sunday,0.1284,220
ACORN-,ToU,4,1,Sunday,0.1276,220
ACORN-,ToU,5,1,Sunday,0.1467,220
ACORN-,ToU,6,1,Sunday,0.1409,220
ACORN-,ToU,7,1,Sunday,0.1544,220
ACORN-,ToU,8,1,Sunday,0.2296,220
ACORN-,ToU,9,1,Sunday,0.2733,220
ACORN-,ToU,10,1,Sunday,0.2266,220
ACORN-,ToU,11,1,Sunday,0.2875,220
ACORN-,ToU,12,1,Sunday,0.3075,220
ACORN-,ToU,13,1,Sunday,0.2652,220
ACORN-,ToU,14,1,Sunday,0.2387,220
ACORN-,ToU,15,1,Sunday,0.2516,220
ACORN-,ToU,16,1,Sunday,0.346,220
ACORN-,ToU,17,1,Sunday,0.3584,220
ACORN-,ToU,18,1,Sunday,0.4987,220
ACORN-,ToU,19,1,Sunday,0.4701,220
ACORN-,ToU,20,1,Sunday,0.4211,220
ACORN-,ToU,21,1,Sunday,0.3953,220
ACORN-,ToU,22,1,Sunday,0.3234,220
ACORN-,ToU,23,1,Sunday,0.2218,220
ACORN-,ToU,0,2,Monday,0.1882,221
ACORN-,ToU,1,2,Monday,0.1642,222
ACORN-,ToU,2,2,Monday,0.1296,222
ACORN-,ToU,3,2,Monday,0.1199,222
ACORN-,ToU,4,2,Monday,0.1214,222
ACORN-,ToU,5,2,Monday,0.1271,222
ACORN-,ToU,6,2,Monday,0.148,222
ACORN-,ToU,7,2,Monday,0.2055,222
ACORN-,ToU,8,2,Monday,0.2386,222
ACORN-,ToU,9,2,Monday,0.2498,222
ACORN-,ToU,10,2,Monday,0.24,222
ACORN-,ToU,11,2,Monday,0.2597,222
ACORN-,ToU,12,2,Monday,0.2941,222
ACORN-,ToU,13,2,Monday,0.2533,222
